path,cells,dims_match,header_exact,byte_exact_full,diff_全部cell(含浮点),diff_pathing(去浮点),cosmetic_wall_void(边界浮点),cell_match%,pathing_match%,w2W,W2w,w2V,V2w,status
ACT1\1X1_WALL_N1S1E0\1X1_WALL_N1S1E0_PB_B.LAYOUT,97825,True,True,False,395,176,219,99.5962,99.8201,47,128,0,1,ok
ACT2_Z1\1X1_CONCAVE_N1E2_SPECIAL\1X1_CONCAVE_N1E2_LM_SPECIAL.LAYOUT,62750,True,True,False,394,273,121,99.3721,99.5649,16,227,0,30,ok
ACT2_Z1\1X1_WALL_N0E2W2\1X1_WALL_N0E2W2_JT_A.LAYOUT,50200,True,True,False,393,274,119,99.2171,99.4542,8,262,0,4,ok
ACT2_Z2\1X1_OPEN_N0S0E0W0_LAKE_SW_SE\1X1OPEN_N0S0E0W0_LAKE_SW_SE_JT_A.LAYOUT,62750,True,True,False,390,387,3,99.3785,99.3833,54,248,0,85,ok
ACT2_Z2\1X1_CONCAVE_S2W1\1X1CONCAVE_S2W1_LM_A.LAYOUT,50850,True,True,False,389,126,263,99.2350,99.7522,87,33,2,4,ok
ESTHSHRINE\1X1EXIT_W\1X1_EXIT_W_JT_A.LAYOUT,62100,True,True,False,389,222,167,99.3736,99.6425,70,138,6,8,ok
ESTHSHRINE\1X1SW\1X1_SW_LM_A.LAYOUT,45000,True,True,False,387,145,242,99.1400,99.6778,53,89,0,3,ok
ESTHSHRINE\1X1EXIT_W\1X1_EXIT_W_PB_A.LAYOUT,62750,True,True,False,385,158,227,99.3865,99.7482,93,63,0,2,ok
ACT1\1X1_CLIFF_S0E1W1\1X1_CLIFF_S0E1W1_PB_A.LAYOUT,90300,True,True,False,383,140,243,99.5759,99.8450,23,77,0,40,ok
ACT2_CAVES\1X1SINGLE_ROOM_BOSS\RANDOMBOSSROOM_JT_A.LAYOUT,131250,True,True,False,383,229,154,99.7082,99.8255,44,77,0,108,ok
ACT1\1X1_ENTRANCE_N2S2W4\1X1_ENTRANCE_N2S2W4_JT_A.LAYOUT,75300,True,True,False,382,230,152,99.4927,99.6946,82,118,0,30,ok
DRAGON\1X1ENTRANCE_N\1X1_ENTRANCE_N_JT_A.LAYOUT,50250,True,True,False,380,165,215,99.2438,99.6716,44,21,0,100,ok
ACT1\1X1_OPEN_N0S3E3W0_WROAD_SE\1X1_OPEN_N0S3E3W0_WROAD_SE_BB_A.LAYOUT,90300,True,True,False,377,290,87,99.5825,99.6788,127,127,0,36,ok
ACT1\1X1_ENTRANCE_S0E1W1\1X1_ENTRANCE_S0E1W1_PB_A.LAYOUT,97825,True,True,False,377,294,83,99.6146,99.6995,112,182,0,0,ok
ACT2_Z1\1X1_WALL_N1S1E0\1X1_WALL_N1S1E0_LM_A.LAYOUT,62750,True,True,False,376,267,109,99.4008,99.5745,15,199,0,53,ok
ACT2_Z1\1X1_WALL_N0E2W2\1X1_WALL_N0E2W2_LM_A.LAYOUT,56475,True,True,False,375,249,126,99.3360,99.5591,1,244,0,4,ok
ACT1\1X1_ENTRANCE_N2S2W0\1X1_ENTRANCE_N2S2W0_JT_A.LAYOUT,90300,True,True,False,375,233,142,99.5847,99.7420,79,154,0,0,ok
ACT2_Z2\1X1_CONCAVE_N1E2_LAKE_SW_SE\1X1CONCAVE_N1E2_SW_SE_LAKE_JT_A.LAYOUT,75250,True,True,False,372,313,59,99.5056,99.5841,59,219,0,35,ok
ACT1\1X1_ZONE1_N0E0_CONVEX_CLIFF_TEMPLATE.LAYOUT,123201,True,True,False,371,161,210,99.6989,99.8693,20,122,0,19,ok
ACT2_Z2\1X1_WALL_N0E2W2_LAKE_NE_SW_SE\1X1WALL_N0S0E2W2_LAKE_NE_SW_SE_PB_A.LAYOUT,75300,True,True,False,370,316,54,99.5086,99.5803,31,111,0,174,ok
ACT2_Z2\1X1_OPEN_N0S0E0W0_LAKE_SW_SE\1X1OPEN_N0S0E0W0_LAKE_SW_SE_LM_A.LAYOUT,62750,True,True,False,366,337,29,99.4167,99.4629,109,158,0,70,ok
GENERIC_CAVE\1X1ENTRANCE_S\1X1_ENTRANCE_S_JT_A.LAYOUT,75900,True,True,False,366,351,15,99.5178,99.5375,71,280,0,0,ok
ACT2_Z1\1X1_ENTRANCE_N2S2W0_SPECIAL\1X1_ENTRANCE_N2S2W0_LM_A_SPECIAL.LAYOUT,82500,True,True,False,366,297,69,99.5564,99.6400,138,71,0,88,ok
ACT2_CAVES\1X1SINGLE_ROOM_BOSS\RANDOMBOSSROOM_BB_A.LAYOUT,138550,True,True,False,366,142,224,99.7358,99.8975,37,74,0,31,ok
ESTHSHRINE\1X1SINGLE_ROOM\1X1_ENTRANCE_N_PB_A.LAYOUT,26576,True,True,False,361,190,171,98.6416,99.2851,67,96,6,21,ok
ACT2_Z2\1X1_CONVEX_N0S2E2W0\1X1CONVEX_N0S2E2W0_BB_A.LAYOUT,62750,True,True,False,360,163,197,99.4263,99.7402,13,52,0,98,ok
ACT2_Z2\1X1_WALL_N0E2W2_LAKE_NW_SW_SE\1X1WALL_N0E2W2_LAKE_NW_SW_SE_BB_A.LAYOUT,62750,True,True,False,360,303,57,99.4263,99.5171,26,187,0,90,ok
